Year,Discharge (CFS)
1911,5070.8
1912,5005.3
1913,3436.9
1914,6111.299999999999
1915,3583.2999999999997
1916,6073.2
1917,5346.7
1918,5640.9
1919,3441.7000000000007
1920,6519.6
1921,4969.4
1935,4142.6
1936,4883.799999999999
1937,3443.1
1938,4577.999999999999
1939,3001.7
1940,2224.2999999999997
1941,4094.7999999999997
1942,3713.0
1943,4125.9
1944,3825.9
1945,3579.5000000000005
1946,3235.6
1947,4476.6
1948,4595.400000000001
1949,4040.7000000000003
1950,3621.0
1951,3877.4
1952,5876.0
1953,3303.7999999999997
1954,2152.9
1955,2818.0999999999995
1956,3375.7
1957,6904.9
1958,4179.400000000001
1959,2645.2999999999997
1960,3010.4
1961,2705.7
1962,5117.599999999999
1963,2226.7
1964,2894.9
1965,5868.999999999999
1966,2830.1
1967,3669.5
1968,3990.9999999999995
1969,4189.7
1970,4616.9
1971,4065.7000000000003
1972,3139.2000000000003
1973,4104.0
1974,3447.6000000000004
1975,4267.3
1976,2830.9
1977,1203.6000000000001
1978,4671.3
1979,5193.399999999999
1980,4997.300000000001
1981,1914.3
1982,4157.5
1983,4519.5
1984,6470.900000000001
1985,5259.8
1986,6064.1
1987,3768.7999999999997
1988,2597.0
1989,3139.6
1990,2261.3999999999996
1991,3333.2000000000003
1992,2722.9
1993,5596.700000000001
1994,3356.4
1995,6907.6
1996,4821.000000000001
1997,5693.400000000001
1998,3269.3000000000006
1999,3931.9
2000,3009.7
2001,2815.4999999999995
2002,1707.5000000000002
2003,3000.7
2004,2719.1000000000004
2005,3941.5999999999995
2006,3906.6000000000004
2007,3007.7000000000007
2008,5132.0
2009,4209.4
2010,3114.0999999999995
2011,5580.2
2012,1613.1000000000001
2013,2527.7000000000003
2014,4877.8
2015,3761.3999999999996
2016,3260.9
2017,5069.300000000001
2018,1811.4
