Year,Discharge,Precip,Snowfall
1911,13172708233.7,33.32,157.1
1913,8858790792.7,22.32,151.5
1914,15884890650,35.03,203.3
1915,9002923364.4,14.86,66.5
1916,15811217357,30.84,187.4
1917,13706763978.4,24.62,184.3
1918,14562521380,24.98,205.4
1920,16915106984.6,24.57,232.4
1921,12843265050,16.26,168.1
1935,10703344396,27.34,238
1936,12662792730.9,25.79,185.9
1937,8900530637.5,23.19,143
1938,11739721076.1,28.97,205.2
1939,7673823455,13.55,119.5
1940,5670682637.3,9.75,111.3
1941,10604857041.5,14.16,120.4
1942,9438802685.8,13.04,106.5
1943,10677018310.6,33.52,178
1944,9832199139.5,20.9,162.7
1945,9247063758.3,22.53,148.3
1946,8246646819,21.5,131.8
1947,11594646809,29.21,187.3
1948,11797781889.3,26.69,209.4
1949,10391820572.7,29.96,210.5
1950,9275446177.1,23.91,195.4
1951,10044250626.7,29.92,229.5
1952,15199436267.2,24.81,170.1
1956,8690224400.5,24.03,240.2
1957,18000567442.8,40.94,322.3
1958,10749862187.4,20.33,233.1
1959,6763806794.7,23.66,190
1960,7601428920.8,17.48,148.4
1961,6910946007.4,24.08,201.8
1962,13072873116.7,22.24,246.4
1963,5689906632.9,18.8,136.9
1964,7450850953.2,21.92,199.5
1965,15281844560.5,33.48,352.1
1966,7147457400.5,19.75,172.1
1967,9467245516.4,27.85,200.5
1968,10301990480.3,23.24,268.7
1969,10841212886.7,31.22,314
1970,11888959791.8,26.22,235.5
1971,10369693564.8,24.13,259
1972,7983135467.6,23.91,157.5
1973,10530432114.3,22.06,201.6
1974,8907986955.1,20.58,197.3
1975,11036252246.3,20.15,208.5
1976,7265306955.6,18.02,165.9
1980,12910130015.9,29.5,314.4
1981,4812842964.4,15.84,89.7
1982,10742889682.8,25.4,218.5
1983,11619944749.5,20.53,228.5
1984,16846565853.1,30.72,332.8
1985,13514748611.2,26.36,235.9
1986,15590949269.3,29.14,281
1987,9475764652.5,18.49,157.1
1988,6612425366,20.02,165
1989,8039960727.8,22.24,203.1
1990,5767087747,21.26,131.3
1991,8580980238.3,21.16,226.9
1992,6996758473.9,22.25,150.4
1993,14558797524.4,31.61,325.6
1994,8587918177.7,18.95,171.6
1995,18006831442.1,34.53,305.4
1996,12394227006.8,29.17,269.9
1997,14744116898.6,30.48,264
1998,8342265709.6,20.45,185.9
1999,10108635935.1,27.13,204.9
2000,7690602337.7,23.85,190.7
2001,7215903443,21.82,179.6
2002,4258405529.3,19.22,157.4
2003,7701238159.4,21.83,168.9
2004,6973274958.8,21.07,198.1
2005,10169029526.4,27.24,251.3
2006,10022728428.2,27.2,221
2007,7527971672.9,17.68,124.2
2008,13311872725.1,26.62,280.1
2010,7951297046.9,21.37,165.2
2011,14409135469.4,24.39,245.3
2012,4035536723.2,15.01,92.8
2013,6503665019.7,20.16,15.6
2014,12524708277.4,24.38,146.5
2015,9551537405.6,23.08,135.6
2016,8325011614.8,22.92,156.5
2017,13110863123.5,29.54,228.1
2018,4542315930.2,19.83,81.1
